UF,Actual_2025,Old_Pred_2025,Old_Pct_Err,Improved_Pred_2025,Improved_Diff,Improved_Pct_Err
SP,900677,434033,-51.8,940905,40228,4.5
MG,167400,274257,63.8,347364,179964,107.5
PR,110896,244158,120.2,228359,117463,105.9
GO,101795,148551,45.9,159692,57897,56.9
RS,85220,44353,-48.0,71751,-13469,-15.8
MT,35393,45165,27.6,39610,4217,11.9
ES,34727,71307,105.3,65431,30704,88.4
BA,32673,88886,172.0,98615,65942,201.8
RJ,29496,105349,257.2,104942,75446,255.8
SC,26051,95418,266.3,117832,91781,352.3
PE,22642,40793,80.2,26572,3930,17.4
PA,17573,26021,48.1,18039,466,2.7
MS,14153,32471,129.4,25767,11614,82.1
DF,11096,67791,510.9,66538,55442,499.7
RN,9764,31134,218.9,15814,6050,62.0
PI,9192,20935,127.8,9496,304,3.3
AC,9001,6585,-26.8,4021,-4980,-55.3
AL,7952,27625,247.4,8883,931,11.7
PB,7654,20655,169.9,17478,9824,128.4
CE,6022,35168,484.0,22460,16438,273.0
MA,5577,18918,239.2,13473,7896,141.6
AM,5328,10866,103.9,9516,4188,78.6
TO,3403,14995,340.6,5808,2405,70.7
AP,2471,4486,81.5,2494,23,0.9
RO,2379,12351,419.2,6698,4319,181.5
SE,1167,7875,574.8,3738,2571,220.3
RR,484,1220,152.1,1090,606,125.2
